id;title;num_of_page;cover_url;publisher;author_id
1;Table Fish;56616;cyan Forward forecast;Agent;1
2;compress state mobile;14112;Center;Fish Wyoming;1
3;connect Kansas ADP;84220;Industrial Cotton Paradigm;Bedfordshire driver Soft;1
4;Games;60548;bleeding-edge Georgia Generic;Mouse programming cross-platform;1
5;optical blockchains orchestrate;79161;withdrawal Australian;Shoes navigating Ergonomic;1
6;Zambian backing;65376;syndicate;Soft;1
7;Escudo;15564;Producer Suudi;Product Web;1
8;Industrial;79272;Future-proofed;Marketing;1
9;Sleek;74851;Director Nebraska South;e-tailers functionalities Supervisor;1
10;payment Toys Home;46751;Paradigm calculate withdrawal;quantify;1
