id;borrowing_date;delivery_date;jhi_comment
1;2021-12-31;2021-12-31;../fake-data/blob/hipster.txt
2;2022-01-01;2021-12-31;../fake-data/blob/hipster.txt
3;2022-01-01;2022-01-01;../fake-data/blob/hipster.txt
4;2022-01-01;2021-12-31;../fake-data/blob/hipster.txt
5;2022-01-01;2021-12-31;../fake-data/blob/hipster.txt
6;2021-12-31;2021-12-31;../fake-data/blob/hipster.txt
7;2022-01-01;2022-01-01;../fake-data/blob/hipster.txt
8;2022-01-01;2021-12-31;../fake-data/blob/hipster.txt
9;2022-01-01;2022-01-01;../fake-data/blob/hipster.txt
10;2021-12-31;2022-01-01;../fake-data/blob/hipster.txt
